#;NAME;PSRJ;RAJ;DECJ;PMRA;PMDEC;PX;POSEPOCH;ELONG;ELAT;PMELONG;PMELAT;Gl;Gb;RAJD;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;DM1;RM;W50;W10;UNITS;TAU_SC;S400;S1400;S2000;BINARY;T0;PB;A1;OM;ECC;TASC;EPS1;EPS2;Minimum;Median;BINCOMP;DIST;DIST_DM;DMsin(b);ZZ;XX;YY;ASSOC;SURVEY;OSURVEY;DISC.;PSR;NGLT;
335;B0656+14;J0659+1414;06:59:48.1;+14:14:19.4;44.070;-2.400;3.470;57600.00;104.644;-8.444;;;201.108;8.258;104.95081667;14.23872222;0.384929;5.49e-14;2.597884;-3.708e-13;7.640e-25;;57600.00;13.94;;22.73;15.000;32.000;TCB;0.00;6.50;2.70;;;;;;;;;;;;;;0.288;0.159;2.00;0.041;-0.103;8.766;GRS:4FGL_J0659.7+1416[aab+22],SNR:Monoge;mol2,lotaas,FermiBlind;020004000010;1978;HE[chmm89,rfk+96,srg+97,w;2;
336;J0659-36;J0659-36;06:59;-36;;;;;113.054;-58.265;;;246.437;-14.139;104.75000000;-36.00000000;0.637000;;1.569859;;;;;83.40;;;13.000;35.000;TDB;;;;;;;;;;;;;;;;;3.916;3.916;-20.37;-0.957;-3.481;10.018;;gbncc;002000000000;2020;;;
337;B0655+64;J0700+6418;07:00:37.8;+64:18:11.2;-7.050;-7.092;;48806.00;98.683;41.320;-6.000;-8.000;151.551;25.237;105.15750833;64.30311111;0.195671;6.85e-19;5.110621;-1.790e-17;-5.600e-29;;48806.00;8.77;;-18.07;6.000;10.000;TDB;;5.00;0.30;;BT;46066.7700;1.0287;4.1256;276.00;7.500e-06;;;;0.6604;0.7966;CO[kul86];0.413;0.413;3.74;0.176;0.178;8.828;;gb1,gb2,gbncc,lotaas;022000000060;1978;;;
338;J0702-4956;J0702-4956;07:02:39.3;-49:56:34.2;;;;57086.00;123.345;-71.573;;;260.190;-18.723;105.66375000;-49.94283333;0.665994;;1.501516;;;;57086.00;98.70;;;;;TDB;;;;;;;;;;;;;;;;;0.538;0.538;-31.68;-0.173;-0.502;8.587;;ghrss;004000000000;2016;;;
339;J0709+0458;J0709+0458;07:09:08.3;+04:58:51.4;-0.700;-1.300;;56983.00;108.069;-17.381;;;210.498;6.200;107.28485579;4.98097058;0.034429;3.80e-19;29.045300;-3.209e-16;;;56983.00;44.27;-0.000;43.40;3.000;4.000;TDB;;;0.26;;DDH;56983.4410;4.3667;15.7166;322.70;2.254e-04;;;;1.0926;1.3481;CO[mgf+19];1.203;1.203;4.78;0.130;-0.607;9.530;;ar327,gbncc;003000000000;2019;;;
340;J0709-5923;J0709-5923;07:09:32.5;-59:23:55.6;;;;53000.00;145.809;-79.404;;;270.029;-20.899;107.38555417;-59.39877778;0.485268;1.26e-16;2.060715;-5.351e-16;;;53000.00;65.00;;;4.700;9.500;TDB;;;0.30;;;;;;;;;;;;;;0.371;0.371;-23.19;-0.132;-0.347;8.500;;pkssw;000000100000;2009;;;
341;J0711+0931;J0711+0931;07:11:36.1;+09:31:25;;;;51199.50;108.111;-12.797;;;206.674;8.776;107.90075000;9.52361111;1.214090;4.00e-16;0.823662;-2.714e-16;;;51199.50;46.24;;62.80;23.000;42.000;TDB;;2.40;0.04;;;;;;;;;;;;;;1.168;1.168;7.05;0.178;-0.518;9.531;;misc;000000400000;2000;;;
342;J0711-6830;J0711-6830;07:11:54.1;-68:30:47.3;-15.565;14.180;;55636.00;204.061;-82.889;-12.049;-17.267;279.531;-23.280;107.97575018;-68.51315682;0.005491;1.49e-20;182.117235;-4.944e-16;;;55636.00;18.41;;23.86;1.092;2.570;TCB;;10.00;2.60;;;;;;;;;;;;;;0.106;0.106;-7.28;-0.042;-0.096;8.484;;pks70,pkssw;000000104000;1997;;;
343;J0719-2545;J0719-2545;07:19:07.3;-25:45:00.2;;;;53000.00;116.748;-47.369;;;238.934;-5.826;109.78075000;-25.75006389;0.974725;7.28e-15;1.025931;-7.664e-15;;;53000.00;253.89;;164.00;14.000;28.000;TDB;;;0.80;;;;;;;;;;;;;;9.810;9.810;-25.77;-0.996;-8.360;13.536;;pkshl,gbncc;002001000000;2006;;;
344;J0720-3125;J0720-3125;07:20:24.9;-31:25:50.0;-93.900;52.800;2.800;52645.10;119.063;-52.860;;;244.158;-8.165;110.10400833;-31.43057861;8.391116;6.98e-14;0.119174;-9.918e-16;;;53010.26;;;;;;TDB;;;;;;;;;;;;;;;;;0.400;;;-0.057;-0.356;8.673;XRS:RX_J0720.4-3125,OPT:[kva07];misc;000000400000;1997;XINS,NRAD;;
